00:13:36 car=15.3A cont=True evse=11 | pub 16.3/18.27/16.08 moy=16.88
00:13:40 car=15.2A cont=True evse=11 | pub 16.3/18.3/16.08 moy=16.89
00:13:43 car=15.2A cont=True evse=11 | pub 16.42/18.3/16.14 moy=16.95
00:13:46 car=15.2A cont=True evse=11 | pub 16.43/18.31/16.26 moy=17.0
00:13:49 car=15.2A cont=True evse=11 | pub 16.43/18.32/16.26 moy=17.0
00:13:52 car=15.3A cont=True evse=11 | pub 16.43/18.32/16.22 moy=16.99
00:13:56 car=15.2A cont=True evse=11 | pub 16.51/18.28/16.25 moy=17.01
00:13:59 car=15.2A cont=True evse=11 | pub 16.51/17.97/16.25 moy=16.91
00:14:02 car=15.2A cont=True evse=11 | pub 16.53/17.97/16.95 moy=17.15
00:14:05 car=15.2A cont=True evse=11 | pub 16.56/17.28/17.37 moy=17.07
00:14:08 car=15.2A cont=True evse=11 | pub 16.56/17.05/17.37 moy=16.99
00:14:11 car=15.2A cont=True evse=11 | pub 16.54/17.05/17.47 moy=17.02
00:14:15 car=15.2A cont=True evse=11 | pub 16.54/17.15/17.47 moy=17.05
00:14:18 car=15.3A cont=True evse=11 | pub 17.06/17.15/17.54 moy=17.25
00:14:21 car=15.2A cont=True evse=11 | pub 17.29/17.41/20.22 moy=18.31
00:14:24 car=15.2A cont=True evse=11 | pub 17.29/17.32/20.22 moy=18.28
00:14:27 car=15.3A cont=True evse=11 | pub 17.29/17.32/18.13 moy=17.58
00:14:31 car=15.2A cont=True evse=11 | pub 16.8/17.27/18.15 moy=17.41
00:14:34 car=15.2A cont=True evse=11 | pub 16.8/17.31/18.15 moy=17.42
00:14:37 car=15.2A cont=True evse=11 | pub 16.65/17.31/19.3 moy=17.75
00:14:40 car=15.2A cont=True evse=11 | pub 16.63/17.33/20.16 moy=18.04
00:14:44 car=15.2A cont=True evse=11 | pub 16.63/17.37/20.16 moy=18.05
00:14:47 car=15.3A cont=True evse=11 | pub 16.65/17.37/20.72 moy=18.25
00:14:50 car=15.2A cont=True evse=11 | pub 16.65/17.43/21.31 moy=18.46
00:14:53 car=15.2A cont=True evse=11 | pub 16.71/17.43/21.31 moy=18.48
00:14:56 car=13.5A cont=True evse=11 | pub 16.73/17.42/22.1 moy=18.75
00:15:00 car=13.2A cont=True evse=11 | pub 16.73/17.78/22.1 moy=18.87
00:15:03 car=14.3A cont=True evse=11 | pub 17.1/17.78/21.63 moy=18.84
00:15:06 car=15.2A cont=True evse=11 | pub 15.13/16.12/19.59 moy=16.95
00:15:09 car=15.3A cont=True evse=11 | pub 15.13/17.59/19.59 moy=17.44
00:15:12 car=15.2A cont=True evse=11 | pub 16.73/17.59/21.32 moy=18.55
00:15:15 car=15.2A cont=True evse=11 | pub 16.82/17.52/21.43 moy=18.59
00:15:18 car=15.2A cont=True evse=11 | pub 16.82/17.63/21.43 moy=18.63
00:15:22 car=15.2A cont=True evse=11 | pub 16.78/17.63/21.47 moy=18.63
00:15:25 car=15.2A cont=True evse=11 | pub 16.84/17.59/21.9 moy=18.78
00:15:29 car=14.2A cont=True evse=11 | pub 16.84/17.75/21.9 moy=18.83
00:15:32 car=17.9A cont=True evse=11 | pub 17.01/17.75/18.82 moy=17.86
00:15:35 car=0.1A cont=False evse=7 | pub 17.11/16.76/16.16 moy=16.68
00:15:38 car=0.1A cont=False evse=9 | pub 17.11/3.5/16.16 moy=12.26
00:15:41 car=0.1A cont=False evse=9 | pub 2.87/3.5/3.69 moy=3.35
00:15:44 car=0.1A cont=False evse=9 | pub 2.87/4.17/3.69 moy=3.58
00:15:48 car=0.1A cont=False evse=9 | pub 3.58/4.17/4.37 moy=4.04
00:15:51 car=0.1A cont=False evse=9 | pub 4.04/4.9/4.95 moy=4.63
00:15:54 car=0.1A cont=False evse=9 | pub 4.04/5.6/4.95 moy=4.86
00:15:57 car=0.1A cont=False evse=9 | pub 4.69/5.6/5.61 moy=5.3
00:16:01 car=0.1A cont=False evse=9 | pub 4.76/6.08/5.69 moy=5.51
00:16:04 car=0.1A cont=False evse=9 | pub 4.76/5.69/5.69 moy=5.38
00:16:09 car=0.1A cont=False evse=9 | pub 4.32/5.36/5.32 moy=5.0
00:16:12 car=0.1A cont=False evse=9 | pub 4.0/5.36/5.0 moy=4.79
00:16:15 car=0.1A cont=False evse=9 | pub 3.75/5.06/4.76 moy=4.52
00:16:19 car=0.1A cont=False evse=9 | pub 3.75/4.88/4.76 moy=4.46
00:16:22 car=0.1A cont=False evse=9 | pub 3.52/4.88/4.55 moy=4.32
00:16:26 car=0.1A cont=False evse=9 | pub 0.64/4.74/1.88 moy=2.42
00:16:30 car=0.1A cont=False evse=9 | pub 0.64/2.24/1.88 moy=1.59
00:16:33 car=0.1A cont=False evse=9 | pub 0.65/2.24/1.31 moy=1.4
00:16:36 car=0.1A cont=False evse=9 | pub 0.64/2.23/1.3 moy=1.39
00:16:39 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.3 moy=1.41
00:16:42 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.3 moy=1.41
00:16:45 car=0.1A cont=False evse=9 | pub 0.64/2.27/1.29 moy=1.4
00:16:49 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.29 moy=1.4
00:16:52 car=0.1A cont=False evse=9 | pub 0.63/2.28/1.3 moy=1.4
00:16:55 car=0.1A cont=False evse=9 | pub 0.63/2.28/1.3 moy=1.4
00:17:00 car=0.1A cont=False evse=9 | pub 0.64/2.27/1.32 moy=1.41
00:17:03 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.32 moy=1.41
00:17:06 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.31 moy=1.41
00:17:10 car=0.1A cont=False evse=9 | pub 0.64/2.21/1.31 moy=1.39
00:17:13 car=0.1A cont=False evse=9 | pub 0.64/2.21/1.31 moy=1.39
00:17:16 car=0.1A cont=False evse=9 | pub 0.64/2.22/1.32 moy=1.39
00:17:20 car=0.1A cont=False evse=9 | pub 0.64/2.22/1.31 moy=1.39
00:17:23 car=0.1A cont=False evse=9 | pub 0.64/2.21/1.31 moy=1.39
00:17:27 car=0.1A cont=False evse=9 | pub 0.65/2.21/1.31 moy=1.39
00:17:31 car=0.1A cont=False evse=9 | pub 0.65/2.21/1.33 moy=1.4
00:17:34 car=0.1A cont=False evse=9 | pub 0.65/2.22/1.33 moy=1.4
00:17:37 car=0.1A cont=False evse=9 | pub 0.64/2.22/1.33 moy=1.4
00:17:40 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.32 moy=1.41
00:17:43 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.32 moy=1.41
00:17:46 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.33 moy=1.42
00:17:50 car=0.1A cont=False evse=9 | pub 0.64/2.27/1.32 moy=1.41
00:17:53 car=0.1A cont=False evse=9 | pub 0.65/2.28/1.32 moy=1.42
00:17:57 car=0.1A cont=False evse=9 | pub 0.64/2.28/1.34 moy=1.42
00:18:00 car=0.1A cont=False evse=9 | pub 0.64/2.27/1.33 moy=1.41
BILAN A: échantillons contacteur ouvert=44
