00:36:26 car=16.0A cont=True | pub 19.45/19.43/19.49 moy=19.46
00:36:31 car=16.1A cont=True | pub 19.33/19.45/19.47 moy=19.42
00:36:37 car=16.1A cont=True | pub 19.45/19.53/19.66 moy=19.55
00:36:43 car=16.0A cont=True | pub 19.41/19.47/19.5 moy=19.46
00:36:50 car=16.0A cont=True | pub 19.44/19.54/19.47 moy=19.48
00:36:55 car=15.9A cont=True | pub 19.45/19.53/19.59 moy=19.52
00:37:00 car=15.9A cont=True | pub 19.44/19.5/19.59 moy=19.51
00:37:04 car=15.9A cont=True | pub 19.4/19.48/19.45 moy=19.44
00:37:09 car=15.9A cont=True | pub 19.67/19.63/19.15 moy=19.48
00:37:23 car=15.9A cont=True | pub 20.81/19.62/19.03 moy=19.82
00:37:44 car=16.1A cont=True | pub 19.59/19.64/19.73 moy=19.65
00:37:53 car=15.7A cont=True | pub 19.63/19.62/19.67 moy=19.64
00:38:19 car=12.3A cont=True | pub 19.8/20.08/19.63 moy=19.84
00:38:23 car=15.9A cont=True | pub 19.59/19.59/19.59 moy=19.59
00:38:29 car=16.0A cont=True | pub 19.64/19.77/19.63 moy=19.68
00:38:36 car=16.1A cont=True | pub 19.52/19.7/19.68 moy=19.63
00:38:53 car=15.8A cont=True | pub 19.55/19.65/19.64 moy=19.61
00:39:03 car=15.9A cont=True | pub 19.62/19.55/19.59 moy=19.59
00:39:21 car=16.0A cont=True | pub 19.61/19.64/20.38 moy=19.88
00:39:28 car=15.7A cont=True | pub 20.58/20.52/20.62 moy=20.57
00:39:33 car=15.8A cont=True | pub 20.59/20.58/20.77 moy=20.65
00:39:39 car=15.8A cont=True | pub 20.38/20.44/20.52 moy=20.45
00:39:44 car=15.9A cont=True | pub 20.47/20.55/20.64 moy=20.55
00:39:50 car=15.9A cont=True | pub 20.59/20.63/20.73 moy=20.65
00:40:01 car=16.0A cont=True | pub 20.91/20.81/20.97 moy=20.9
00:40:21 car=15.8A cont=True | pub 20.58/20.67/20.64 moy=20.63
00:40:32 car=15.2A cont=True | pub 20.86/21.3/21.8 moy=21.32
00:40:39 car=9.1A cont=True | pub 20.16/21.61/21.67 moy=21.15
00:40:46 car=15.8A cont=True | pub 16.27/19.64/17.55 moy=17.82
00:40:53 car=10.2A cont=True | pub 23.27/23.33/23.15 moy=23.25
00:41:08 car=7.3A cont=True | pub 14.89/19.35/19.26 moy=17.83
00:41:38 car=14.2A cont=True | pub 22.64/21.87/19.31 moy=21.27
00:41:52 car=0.1A cont=False | pub 10.79/10.76/11.18 moy=10.91
00:41:53 *** TRIP DÉTECTÉ → FILET : retour OMBRE automatique ***
00:42:23 car=0.1A cont=False | pub 0.54/2.38/1.9 moy=1.61
00:42:36 car=0.1A cont=False | pub 0.55/2.38/1.91 moy=1.61
00:42:49 car=0.1A cont=False | pub 0.55/2.43/1.9 moy=1.63
00:42:55 car=0.1A cont=False | pub 0.55/2.43/1.33 moy=1.44
00:43:03 car=0.1A cont=False | pub 0.55/2.43/1.33 moy=1.44
00:43:09 car=0.1A cont=False | pub 0.55/2.37/1.33 moy=1.42
00:43:15 car=0.1A cont=False | pub 0.55/2.37/1.33 moy=1.42
00:43:21 car=0.1A cont=False | pub 0.55/2.37/1.33 moy=1.42
00:43:29 car=0.1A cont=False | pub 0.55/2.37/1.33 moy=1.42
00:43:39 car=0.1A cont=False | pub 0.55/2.43/1.33 moy=1.44
00:43:52 car=0.1A cont=False | pub 0.55/2.44/1.33 moy=1.44
00:43:58 car=0.1A cont=False | pub 0.55/2.43/1.35 moy=1.44
00:44:07 car=0.1A cont=False | pub 0.55/2.37/1.36 moy=1.43
00:44:18 car=0.1A cont=False | pub 0.55/2.37/1.36 moy=1.43
00:44:25 car=0.1A cont=False | pub 0.54/2.37/1.33 moy=1.41
00:44:40 car=0.1A cont=False | pub 0.55/2.43/1.33 moy=1.44
00:44:47 car=0.1A cont=False | pub 0.55/2.42/1.32 moy=1.43
00:44:56 car=0.1A cont=False | pub 0.55/2.44/1.33 moy=1.44
00:45:04 car=0.1A cont=False | pub 0.55/2.42/1.33 moy=1.43
00:45:23 car=0.1A cont=False | pub 0.55/2.37/1.33 moy=1.42
00:45:31 car=0.1A cont=False | pub 0.56/2.37/1.33 moy=1.42
00:45:48 car=0.1A cont=False | pub 0.55/2.43/1.33 moy=1.44
FIN (abort=True)
