12:46:35 car=15.9A ph1=122.7% biais=0.0 pub=21.0
12:46:40 car=15.8A ph1=123.0% biais=0.0 pub=21.0
12:46:46 car=15.7A ph1=122.9% biais=0.0 pub=21.0
12:46:51 car=15.8A ph1=122.6% biais=0.0 pub=21.0
12:46:56 car=15.7A ph1=122.6% biais=0.0 pub=21.0
12:47:01 car=15.7A ph1=122.3% biais=0.0 pub=21.0
12:47:06 car=15.7A ph1=122.5% biais=0.0 pub=21.0
12:47:12 car=15.7A ph1=122.4% biais=0.0 pub=21.0
12:47:17 car=15.7A ph1=122.3% biais=0.0 pub=21.0
12:47:22 car=11.0A ph1=122.5% biais=1.0 pub=21.0
12:47:27 car=8.1A ph1=96.3% biais=3.0 pub=21.0
12:47:35 car=8.1A ph1=87.9% biais=4.0 pub=21.0
12:47:40 car=8.1A ph1=87.9% biais=5.0 pub=21.0
12:47:45 car=8.1A ph1=87.9% biais=6.0 pub=21.0
12:47:51 car=8.1A ph1=88.0% biais=7.0 pub=21.0
12:47:56 car=8.1A ph1=87.9% biais=8.0 pub=21.0
12:48:01 car=8.0A ph1=87.9% biais=9.0 pub=21.0
12:48:07 car=8.0A ph1=87.9% biais=10.0 pub=21.0
12:48:12 car=8.0A ph1=87.7% biais=11.0 pub=21.0
12:48:17 car=8.0A ph1=87.7% biais=12.0 pub=21.0
12:48:22 car=8.1A ph1=87.6% biais=11.5 pub=21.1
12:48:29 car=8.0A ph1=87.5% biais=10.5 pub=21.1
12:48:34 car=8.1A ph1=87.6% biais=10.0 pub=21.1
12:48:39 car=8.1A ph1=87.8% biais=9.5 pub=21.1
12:48:44 car=8.0A ph1=87.7% biais=9.0 pub=21.1
12:48:50 car=8.0A ph1=87.6% biais=8.5 pub=21.1
12:48:55 car=8.1A ph1=87.5% biais=8.0 pub=21.1
12:49:00 car=8.0A ph1=87.6% biais=7.5 pub=21.1
12:49:05 car=8.0A ph1=87.5% biais=7.0 pub=21.1
12:49:10 car=8.0A ph1=87.6% biais=6.5 pub=21.1
12:49:16 car=8.0A ph1=87.6% biais=6.0 pub=21.1
12:49:21 car=8.0A ph1=88.0% biais=5.5 pub=21.1
12:49:26 car=8.1A ph1=87.9% biais=5.0 pub=21.1
12:49:31 car=8.0A ph1=87.4% biais=4.5 pub=21.1
12:49:36 car=8.1A ph1=87.0% biais=4.0 pub=21.1
12:49:41 car=8.1A ph1=87.1% biais=3.5 pub=21.1
12:49:47 car=8.0A ph1=87.7% biais=3.0 pub=21.1
12:49:52 car=8.0A ph1=87.6% biais=2.5 pub=21.1
12:49:57 car=8.0A ph1=87.6% biais=2.0 pub=21.1
12:50:02 car=8.0A ph1=87.5% biais=1.5 pub=21.1
12:50:07 car=8.0A ph1=86.8% biais=1.0 pub=21.1
12:50:13 car=8.1A ph1=86.9% biais=0.5 pub=20.6
12:50:18 car=0.1A ph1=83.5% biais=0.0 pub=20.1
12:50:23 car=0.1A ph1=50.5% biais=0.0 pub=12.2
12:50:28 car=0.1A ph1=50.6% biais=0.0 pub=12.2
12:50:33 car=0.1A ph1=50.7% biais=0.0 pub=12.2
12:50:39 car=0.1A ph1=50.6% biais=0.0 pub=12.2
12:50:44 car=0.1A ph1=50.6% biais=0.0 pub=12.2
12:50:49 car=0.1A ph1=50.6% biais=0.0 pub=12.2
12:50:54 car=0.1A ph1=50.6% biais=0.0 pub=12.2
