19:25:32 car=True|8.5 pub=5.97 pire=35.7%
19:25:35 car=True|10.6 pub=9.18 pire=44.7%
19:25:38 car=True|12.7 pub=13.12 pire=58.4%
19:25:42 car=True|15.8 pub=13.12 pire=69.9%
19:25:45 car=True|15.9 pub=16.58 pire=84.1%
19:25:48 car=True|15.9 pub=20.74 pire=89.3%
19:25:51 car=True|15.8 pub=20.74 pire=89.6%
19:25:55 car=True|15.8 pub=21.0 pire=89.2%
19:25:59 car=True|15.9 pub=20.74 pire=89.0%
19:26:02 car=True|15.9 pub=20.94 pire=89.7%
19:26:05 car=True|15.9 pub=20.94 pire=89.1%
19:26:09 car=True|15.8 pub=20.84 pire=89.9%
19:26:12 car=True|15.8 pub=20.84 pire=89.5%
19:26:15 car=True|15.8 pub=20.9 pire=89.1%
19:26:19 car=True|15.9 pub=20.69 pire=89.0%
19:26:23 car=True|15.9 pub=20.74 pire=88.6%
19:26:26 car=True|15.9 pub=20.74 pire=90.9%
19:26:29 car=True|15.1 pub=21.05 pire=91.7%
19:26:32 car=True|15.1 pub=21.29 pire=89.6%
19:26:35 car=True|15.3 pub=21.29 pire=89.4%
19:26:38 car=True|15.7 pub=20.74 pire=90.0%
19:26:42 car=True|15.1 pub=20.74 pire=92.3%
19:26:45 car=True|15.1 pub=21.23 pire=89.7%
19:26:48 car=True|15.9 pub=20.7 pire=89.4%
19:26:52 car=True|15.9 pub=20.7 pire=92.1%
19:26:55 car=True|15.9 pub=21.3 pire=93.3%
19:26:58 car=True|15.9 pub=21.24 pire=93.3%
19:27:01 car=True|15.8 pub=21.24 pire=93.0%
19:27:04 car=True|15.1 pub=21.38 pire=93.2%
19:27:07 car=True|15.0 pub=20.76 pire=93.0%
19:27:11 car=True|15.8 pub=20.76 pire=89.5%
19:27:14 car=True|15.8 pub=20.85 pire=89.7%
19:27:17 car=True|15.1 pub=20.85 pire=92.5%
19:27:20 car=True|15.1 pub=21.23 pire=92.8%
19:27:23 car=True|15.9 pub=20.93 pire=89.7%
19:27:26 car=True|16.0 pub=20.93 pire=89.7%
19:27:30 car=True|16.0 pub=21.3 pire=93.6%
19:27:33 car=True|15.9 pub=21.45 pire=93.6%
19:27:36 car=True|16.0 pub=21.45 pire=94.0%
19:27:39 car=True|15.9 pub=21.36 pire=93.7%
19:27:42 car=True|15.9 pub=21.42 pire=93.7%
19:27:45 car=True|15.1 pub=21.42 pire=93.5%
19:27:48 car=True|15.2 pub=21.32 pire=89.9%
19:27:52 car=True|15.9 pub=21.32 pire=90.0%
19:27:55 car=True|15.1 pub=21.15 pire=93.6%
19:27:58 car=True|15.1 pub=21.22 pire=93.1%
19:28:01 car=True|15.9 pub=21.22 pire=90.0%
19:28:04 car=True|15.9 pub=20.92 pire=90.3%
19:28:07 car=True|15.9 pub=21.32 pire=94.1%
19:28:11 car=True|16.0 pub=21.32 pire=93.6%
19:28:14 car=True|15.9 pub=21.4 pire=93.6%
19:28:17 car=True|15.9 pub=21.4 pire=93.9%
19:28:20 car=True|16.0 pub=21.33 pire=94.6%
19:28:23 car=True|16.0 pub=21.8 pire=97.1%
19:28:26 car=True|16.0 pub=21.8 pire=97.9%
19:28:30 car=True|16.0 pub=21.76 pire=97.7%
19:28:33 car=True|16.0 pub=21.88 pire=97.7%
19:28:36 car=True|15.9 pub=21.88 pire=98.0%
19:28:39 car=True|15.9 pub=21.82 pire=98.0%
19:28:42 car=True|15.0 pub=22.0 pire=99.0%
19:28:46 car=True|15.1 pub=22.0 pire=94.5%
19:28:49 car=True|15.0 pub=21.42 pire=94.5%
19:28:52 car=True|15.1 pub=21.42 pire=94.4%
19:28:55 car=True|15.1 pub=21.51 pire=94.6%
19:28:58 car=True|15.1 pub=21.44 pire=94.9%
19:29:01 car=True|15.1 pub=21.44 pire=95.1%
19:29:05 car=True|15.1 pub=21.57 pire=95.1%
19:29:08 car=True|15.0 pub=21.49 pire=95.2%
19:29:11 car=True|15.0 pub=21.49 pire=94.9%
19:29:14 car=True|15.0 pub=21.55 pire=94.9%
19:29:17 car=True|15.1 pub=21.41 pire=94.8%
19:29:20 car=True|15.1 pub=21.41 pire=95.2%
19:29:24 car=True|15.0 pub=21.53 pire=94.7%
19:29:27 car=True|15.1 pub=21.53 pire=94.7%
19:29:30 car=True|15.1 pub=21.46 pire=94.8%
19:29:33 car=True|15.1 pub=21.49 pire=95.0%
19:29:36 car=True|15.1 pub=21.49 pire=95.0%
19:29:40 car=True|15.1 pub=21.48 pire=95.7%
19:29:43 car=True|15.1 pub=21.8 pire=95.7%
19:29:46 car=True|14.0 pub=21.8 pire=101.2%
19:29:49 car=True|13.1 pub=21.95 pire=103.6%
19:29:52 car=True|11.0 pub=22.05 pire=99.7%
19:29:55 car=True|10.1 pub=22.05 pire=98.3%
19:29:58 car=True|10.0 pub=21.66 pire=94.8%
19:30:02 car=True|9.0 pub=21.66 pire=99.7%
19:30:05 car=True|8.1 pub=22.05 pire=105.6%
19:30:08 car=True|6.1 pub=21.95 pire=102.8%
19:30:11 car=False|0.1 pub=21.95 pire=95.3%
19:30:14 car=False|0.1 pub=21.18 pire=86.3%
19:30:17 car=True|0.3 pub=15.27 pire=63.7%
19:30:21 car=True|0.3 pub=15.27 pire=65.3%
19:30:24 car=False|0.4 pub=15.95 pire=66.4%
19:30:27 car=False|0.1 pub=15.95 pire=67.2%
19:30:30 car=False|0.1 pub=16.19 pire=67.7%
19:30:33 car=False|0.1 pub=16.45 pire=68.4%
19:30:36 car=False|0.1 pub=16.45 pire=68.6%
19:30:40 car=False|0.1 pub=16.48 pire=74.3%
19:30:43 car=False|0.1 pub=21.95 pire=71.3%
19:30:46 car=False|0.1 pub=21.95 pire=72.9%
19:30:49 car=False|0.1 pub=21.95 pire=70.0%
19:30:52 car=False|0.1 pub=22.05 pire=64.3%
19:30:55 car=False|0.1 pub=22.05 pire=64.0%
19:30:59 car=False|0.1 pub=21.95 pire=64.0%
19:31:02 car=False|0.1 pub=21.95 pire=64.7%
19:31:05 car=False|0.1 pub=22.05 pire=64.6%
19:31:08 car=False|0.1 pub=21.95 pire=64.7%
19:31:11 car=False|0.1 pub=21.95 pire=64.8%
19:31:14 car=False|0.1 pub=22.05 pire=64.9%
19:31:18 car=False|0.1 pub=22.05 pire=64.8%
19:31:21 car=False|0.1 pub=22.05 pire=64.8%
19:31:24 car=False|0.1 pub=22.05 pire=64.9%
19:31:27 car=False|0.1 pub=22.05 pire=65.9%
19:31:30 car=False|0.1 pub=21.95 pire=62.9%
19:31:33 car=False|0.1 pub=22.05 pire=62.2%
19:31:36 car=False|0.1 pub=22.05 pire=61.6%
19:31:40 car=False|0.1 pub=21.95 pire=61.3%
19:31:43 car=False|0.1 pub=22.05 pire=61.3%
19:31:46 car=False|0.1 pub=22.05 pire=61.5%
19:31:49 car=False|0.1 pub=22.05 pire=60.1%
19:31:53 car=False|0.1 pub=22.05 pire=60.1%
FIN
