19:30:15 car=False|0.1 pub=21.18 pire=63.7% biais=0.0
19:30:19 car=True|0.3 pub=15.27 pire=65.3% biais=0.0
19:30:22 car=True|0.3 pub=15.27 pire=66.4% biais=0.0
19:30:25 car=False|0.1 pub=15.95 pire=67.2% biais=0.0
19:30:29 car=False|0.1 pub=16.19 pire=67.7% biais=0.0
19:30:32 car=False|0.1 pub=16.19 pire=68.4% biais=0.0
19:30:35 car=False|0.1 pub=16.45 pire=68.6% biais=0.0
19:30:38 car=False|0.1 pub=16.48 pire=69.0% biais=0.0
19:30:42 car=False|0.1 pub=16.48 pire=74.3% biais=16.0
19:30:45 car=False|0.1 pub=21.95 pire=71.3% biais=16.0
19:30:48 *** CYCLES 476 -> 477 ***
19:30:48 car=False|0.1 pub=21.95 pire=72.9% biais=16.0
19:30:51 car=False|0.1 pub=21.95 pire=70.0% biais=16.0
19:30:55 car=False|0.1 pub=22.05 pire=64.3% biais=16.0
19:30:58 car=False|0.1 pub=21.95 pire=64.0% biais=16.0
19:31:01 car=False|0.1 pub=21.95 pire=64.7% biais=16.0
19:31:04 car=False|0.1 pub=22.05 pire=64.6% biais=16.0
19:31:07 car=False|0.1 pub=21.95 pire=64.7% biais=16.0
19:31:10 car=False|0.1 pub=21.95 pire=64.8% biais=16.0
19:31:14 car=False|0.1 pub=22.05 pire=64.9% biais=16.0
19:31:17 car=False|0.1 pub=22.05 pire=64.8% biais=16.0
19:31:20 car=False|0.1 pub=22.05 pire=64.8% biais=16.0
19:31:23 car=False|0.1 pub=22.05 pire=64.9% biais=16.0
19:31:27 car=False|0.1 pub=22.05 pire=65.9% biais=16.0
19:31:30 car=False|0.1 pub=21.95 pire=62.9% biais=16.0
19:31:33 car=False|0.1 pub=22.05 pire=62.2% biais=16.0
19:31:36 car=False|0.1 pub=22.05 pire=61.6% biais=16.0
19:31:39 car=False|0.1 pub=21.95 pire=61.3% biais=16.0
19:31:42 car=False|0.1 pub=22.05 pire=61.3% biais=16.0
19:31:46 car=False|0.1 pub=22.05 pire=61.5% biais=16.0
19:31:49 car=False|0.1 pub=22.05 pire=60.1% biais=16.0
19:31:52 car=False|0.1 pub=22.05 pire=60.1% biais=16.0
19:31:56 car=False|0.1 pub=22.05 pire=57.2% biais=16.0
19:31:59 car=False|0.1 pub=21.95 pire=57.6% biais=16.0
19:32:02 car=False|0.1 pub=21.95 pire=53.6% biais=16.0
19:32:05 car=False|0.1 pub=22.05 pire=30.4% biais=16.0
19:32:08 car=False|0.1 pub=20.31 pire=13.7% biais=16.0
19:32:12 car=False|0.1 pub=20.31 pire=13.7% biais=16.0
19:32:15 car=False|0.1 pub=20.41 pire=13.4% biais=16.0
19:32:18 car=False|0.1 pub=20.26 pire=13.4% biais=16.0
19:32:21 car=False|0.1 pub=20.26 pire=13.4% biais=16.0
19:32:25 car=False|0.1 pub=20.36 pire=13.4% biais=16.0
19:32:28 car=False|0.1 pub=20.26 pire=13.4% biais=16.0
19:32:32 car=False|0.1 pub=20.26 pire=13.4% biais=16.0
19:32:35 car=False|0.1 pub=20.35 pire=13.4% biais=16.0
19:32:38 car=False|0.1 pub=20.35 pire=13.3% biais=16.0
19:32:41 car=False|0.1 pub=20.35 pire=13.4% biais=16.0
19:32:44 car=False|0.1 pub=20.35 pire=13.6% biais=16.0
19:32:48 car=False|0.1 pub=20.31 pire=13.6% biais=16.0
19:32:51 car=False|0.1 pub=20.31 pire=13.6% biais=16.0
19:32:54 car=False|0.1 pub=20.41 pire=13.6% biais=16.0
19:32:57 car=False|0.1 pub=20.41 pire=13.6% biais=16.0
19:33:00 car=False|0.1 pub=20.31 pire=13.6% biais=16.0
19:33:04 car=False|0.1 pub=20.4 pire=13.6% biais=16.0
19:33:07 car=False|0.1 pub=20.4 pire=13.6% biais=16.0
19:33:10 car=False|0.1 pub=20.41 pire=13.6% biais=16.0
19:33:13 car=False|0.1 pub=20.4 pire=13.6% biais=16.0
19:33:16 car=False|0.1 pub=20.4 pire=13.4% biais=16.0
19:33:20 car=False|0.1 pub=20.25 pire=13.3% biais=16.0
19:33:23 car=False|0.1 pub=20.35 pire=13.3% biais=16.0
19:33:26 car=False|0.1 pub=20.35 pire=13.3% biais=16.0
19:33:29 car=False|0.1 pub=20.25 pire=13.3% biais=16.0
19:33:33 car=False|0.1 pub=20.35 pire=13.3% biais=16.0
19:33:36 car=False|0.1 pub=20.35 pire=13.3% biais=16.0
19:33:39 car=False|0.1 pub=20.25 pire=13.3% biais=16.0
19:33:42 car=False|0.1 pub=20.25 pire=13.3% biais=16.0
19:33:45 car=False|0.1 pub=20.25 pire=13.6% biais=16.0
19:33:49 car=False|0.1 pub=20.3 pire=13.6% biais=16.0
19:33:52 car=False|0.1 pub=20.3 pire=13.6% biais=16.0
19:33:55 car=False|0.1 pub=20.4 pire=13.6% biais=16.0
19:33:59 car=False|0.1 pub=20.3 pire=13.6% biais=16.0
19:34:02 car=False|0.1 pub=20.3 pire=13.6% biais=16.0
19:34:05 car=False|0.1 pub=20.43 pire=13.8% biais=16.0
19:34:08 car=False|0.1 pub=20.34 pire=13.8% biais=16.0
19:34:12 car=False|0.1 pub=20.34 pire=13.8% biais=16.0
19:34:15 car=False|0.1 pub=20.45 pire=13.5% biais=16.0
19:34:18 car=False|0.1 pub=20.28 pire=13.5% biais=16.0
19:34:22 car=False|0.1 pub=20.28 pire=13.5% biais=16.0
19:34:26 car=False|0.1 pub=20.39 pire=13.5% biais=16.0
19:34:29 car=False|0.1 pub=20.29 pire=13.5% biais=0.0
19:34:32 car=True|0.3 pub=4.38 pire=13.5% biais=0.0
19:34:36 *** CYCLES 477 -> 478 ***
19:34:36 car=?|? pub=7.52 pire=14.6% biais=0.0
19:34:46 car=True|5.4 pub=7.52 pire=19.4% biais=0.0
19:34:49 car=True|8.3 pub=7.62 pire=33.7% biais=0.0
19:34:52 car=True|10.5 pub=11.68 pire=38.5% biais=0.0
19:34:56 car=True|12.5 pub=11.68 pire=51.9% biais=0.0
19:34:59 car=True|15.9 pub=14.8 pire=61.6% biais=0.0
19:35:02 car=True|16.0 pub=19.24 pire=86.4% biais=0.0
19:35:06 car=True|16.0 pub=19.24 pire=86.4% biais=0.0
19:35:09 car=True|15.9 pub=20.19 pire=86.7% biais=0.0
19:35:12 car=True|15.9 pub=20.24 pire=86.7% biais=0.0
19:35:15 car=True|15.9 pub=20.24 pire=86.3% biais=0.0
19:35:19 car=True|15.9 pub=20.18 pire=86.1% biais=0.0
19:35:22 car=True|15.9 pub=20.18 pire=86.2% biais=0.0
19:35:25 car=True|15.8 pub=20.14 pire=85.9% biais=0.0
19:35:28 car=True|15.8 pub=20.05 pire=86.1% biais=0.0
19:35:31 car=True|15.8 pub=20.05 pire=85.8% biais=0.0
19:35:35 car=True|15.8 pub=20.11 pire=85.9% biais=0.0
